"Q5_1"	"Q5_2"	"Q5_3"	"Q5_4"	"Q5_5"	"Q5_6"	"Q6box_1"	"Q6box_2"	"Q6box_3"	"Q6box_4"	"Q6_score"	"Q10_1"	"Q10_2"	"Q10_3"	"Q10_4"	"Q35_ERP"	"Q40_TAA"	"Q36_ITcount"	"Q37_ITassist"	"Q38_Taxcount"	"Q39_TAAexpert"	"Q22_box1"	"Q22_box2"	"Q22_box3"	"Q22_box4"	"Q22_box5"	"Q22_box6"	"Q22_box7"	"Q22_box8"	"Q22_box9"	"Q22_box10"	"Q23_1"	"Q23_2"	"Q26"	"Q24_box1"	"Q24_box2"	"Q24_box3"	"Q24_box4"	"Q27"	"Q29"	"Q41"	"Q30_1"	"Q30_2"	"Q30_3"	"Q30_4"	"Q31_1"	"Q31_2"	"Q31_3"	"Q32_1"	"Q32_2"	"Q32_3"	"Q32_4"	"Q42"	"Q45"	"Q43"	"Q44"	"init_composite"	"rout_composite"	"integrate_composite"	"manag_composite"	"comp_composite"	"gov_composite"
"58"	3	5	3	4	4	4	1	2	3	NA	NA	2	2	NA	NA	1	0	2	1	7	2	1	NA	3	NA	NA	NA	NA	NA	NA	NA	1	2	5	NA	NA	3	NA	2	1	2	4	2	4	5	2	5	2	1	2	2	2	1	8	"CFO"	"Vice President, Tax"	0.50616421152266	0.221129392245028	-0.757555736513888	-0.325512694068311	-0.0580523317547383	-1.98788818456879
"59"	3	3	4	5	5	5	1	2	NA	NA	3	4	4	2	2	1	0	3	1	10	2	1	2	3	NA	NA	NA	7	NA	NA	NA	3	3	6	NA	2	3	4	2	3	4	4	4	4	NA	3	3	3	3	4	4	4	1	7	"CFO"	""	0.382761926071619	0.475857752389177	-0.182119052040334	-0.864009988635933	-0.941383156296467	0.666618656133457
"60"	1	3	1	4	5	5	1	NA	NA	NA	2	3	3	1	1	1	1	2	0	14	5	1	2	3	NA	5	NA	7	NA	NA	NA	2	2	6	NA	2	3	4	3	5	NA	3	2	3	4	3	4	2	6	3	6	6	1	20.5	"Chief accounting Officer"	"Vice President, Tax"	-0.514914699446799	-0.923504712080757	-0.757555861872187	0.149901058476208	-0.941380927314146	-0.132027421962977
"61"	4	2	4	5	6	6	1	NA	NA	NA	1	4	4	1	1	1	0	2	1	7	1	1	NA	NA	NA	NA	NA	7	NA	NA	NA	3	4	NA	NA	2	3	4	2	3	2	4	4	5	NA	3	3	3	6	6	6	6	1	10	"CFO"	"VP"	-0.742495237607948	-0.409622811124053	1.24662463266082	-0.864009845690203	-0.941383156296467	-0.218107546222885
"62"	5	4	4	4	5	5	1	NA	NA	NA	1	4	4	3	2	0	0	3	1	18	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	2	2	6	NA	NA	NA	4	3	1	NA	4	3	2	NA	1	3	3	4	4	3	3	1	10	"CFO"	""	0.652755001078622	0.595789152979797	-0.757555861872187	-0.161710736609015	-0.941383493216268	0.752751250422165
"63"	2	2	2	4	5	4	NA	NA	NA	NA	1	3	3	1	1	1	0	0	0	65	0	1	2	NA	NA	NA	NA	NA	NA	NA	NA	4	6	1	NA	NA	NA	4	3	6	NA	NA	5	5	5	4	4	4	3	4	2	6	3	7	"CFO"	""	-0.627196437505933	-0.923504712080757	1.45703464634455	-0.390413380835778	-0.94138226730138	-0.0561141023450329
"64"	3	3	5	5	5	5	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	0.382761665813195	0.646527228537286	0.978212028282775	0.271245147969209	-0.476971552356933	-0.218107546222885
"65"	5	4	5	5	5	5	1	NA	NA	NA	2	5	5	3	2	NA	0	3	0	30	5	1	NA	3	NA	5	6	7	NA	NA	NA	4	6	6	NA	NA	NA	4	3	2	NA	3	5	5	5	3	5	5	5	5	5	6	3	15	"CFO"	"VP Tax"	0.652754740820198	2.04253569990409	1.45703464634455	-0.497792592732113	0.877687073899164	1.25569225553325
"66"	3	1	3	5	5	5	NA	NA	NA	NA	1	2	2	1	1	1	1	2	0	19	1	1	NA	NA	NA	NA	NA	7	NA	NA	NA	3	2	6	NA	2	3	4	3	4	4	4	4	3	5	5	5	4	3	3	6	6	1	6.3	"CFO"	"N/A"	0.185433396337524	-0.936769424198182	-0.537219040556288	-0.390240971838961	0.909335485486464	-0.186852760251439
"67"	4	5	5	5	5	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	0.578462497892404	0.646527228537286	0.978212028282775	0.271245147969209	-0.476971552356933	-0.218107546222885
"68"	1	5	5	5	5	5	NA	NA	NA	NA	1	1	4	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	0.0756069943504167	-0.952754357920199	0.978212028282775	0.271245147969209	-0.476971552356933	-0.218107546222885
